Treat_Mediator_Y	ACME.p	prop.mediated
MetaG.M00539_MetaB.MEplum1	0.012	0.709
MetaG.map00920_MetaB.MEbrown4	0.012	0.687
MetaG.map00920_MetaB.MEhoneydew1	0.012	0.567
MetaG.M00222_MetaB.MEhoneydew1	0.012	0.565
MetaG.map00250_MetaB.MElightyellow	0.012	0.416
MetaG.map00280_MetaB.MEnavajowhite	0.012	0.492
MetaG.map03018_MetaB.MEsienna4	0.012	0.823
MetaG.M00338_MetaB.MEsalmon2	0.012	0.75409
MetaG.M00440_MetaB.MEblue	0.012	0.44972
MetaG.map00280_MetaB.MEskyblue3	0.012	0.477
MetaG.map00920_MetaB.MEskyblue3	0.012	0.493
MetaG.M00222_MetaB.MEdarkmagenta	0.014	0.505
MetaG.M00173_MetaB.MElightpink2	0.014	0.484
MetaG.M00044_MetaB.MEbrown4	0.014	0.628
MetaG.map00250_MetaB.MEbrown4	0.014	0.629
MetaG.M00044_MetaB.MEhoneydew1	0.014	0.483
MetaG.M00173_MetaB.MEpalevioletred2	0.014	0.694
MetaG.M00173_MetaB.MEivory	0.014	0.76
MetaG.M00222_MetaB.MElightyellow	0.014	0.325
MetaG.M00173_MetaB.MEcyan	0.014	0.651
MetaG.M00440_MetaB.MEcyan	0.014	0.3931
MetaG.M00440_MetaB.MEred	0.014	0.39122
MetaG.M00002_MetaB.MEmediumpurple1	0.014	0.7859
MetaG.M00173_MetaB.MEplum	0.014	0.746
MetaG.map00250_MetaB.MEplum	0.014	0.67
MetaG.map03018_MetaB.MElavenderblush3	0.014	0.609
MetaG.M00032_MetaB.MEhoneydew	0.016	-0.211
MetaG.map00250_MetaB.MEorangered1	0.016	0.343
MetaG.map03018_MetaB.MEdarkslateblue	0.016	0.381
MetaG.M00539_MetaB.MElightpink2	0.016	0.483
MetaG.map00250_MetaB.MEorangered3	0.016	0.46
MetaG.M00002_MetaB.MEbrown4	0.016	0.7934
MetaG.M00338_MetaB.MEbrown4	0.016	0.7715
MetaG.map03018_MetaB.MEpalevioletred2	0.016	0.534
MetaG.M00173_MetaB.MElightyellow	0.016	0.4763
MetaG.M00539_MetaB.MEcyan	0.016	0.621
MetaG.map00920_MetaB.MEcyan	0.016	0.514
MetaG.M00539_MetaB.MEpalevioletred2	0.018	0.697
MetaG.M00533_MetaB.MEpalevioletred2	0.018	0.617
MetaG.M00002_MetaB.MEcyan	0.018	0.614
MetaG.M00338_MetaB.MEcyan	0.018	0.569
MetaG.M00440_MetaB.MEmediumpurple1	0.018	0.5992
MetaG.M00533_MetaB.MEmediumpurple1	0.018	0.892
MetaG.M00319_MetaB.MEyellow3	0.018	-0.0549
MetaG.M00001_MetaB.MElavenderblush3	0.018	0.696
MetaG.M00173_MetaB.MEorangered1	0.02	0.3975
MetaG.M00319_MetaB.MEivory	0.02	-0.179
MetaG.M00539_MetaB.MEmediumpurple1	0.02	0.852
MetaG.M00539_MetaB.MEfloralwhite	0.02	0.538
MetaG.M00044_MetaB.MEblue	0.02	0.474
MetaG.map00920_MetaB.MEorangered1	0.022	0.468
MetaG.M00440_MetaB.MElightpink2	0.022	0.2968
MetaG.M00173_MetaB.MEpalevioletred1	0.022	0.685
MetaG.M00001_MetaB.MEhoneydew1	0.022	0.543
MetaG.M00440_MetaB.MEdarkmagenta	0.024	0.416
MetaG.map00250_MetaB.MEantiquewhite4	0.024	0.465
MetaG.map03018_MetaB.MEorangered1	0.024	0.357
MetaG.M00044_MetaB.MEpalevioletred2	0.024	0.513
MetaG.M00002_MetaB.MElightyellow	0.024	0.408
MetaG.M00360_MetaB.MEnavajowhite	0.024	0.473
MetaG.M00044_MetaB.MEbisque4	0.024	0.556
MetaG.M00044_MetaB.MEplum	0.024	0.523
MetaG.M00533_MetaB.MEfloralwhite	0.024	0.3789
MetaG.M00338_MetaB.MEskyblue3	0.024	0.529
MetaG.M00222_MetaB.MEskyblue1	0.026	0.3141
MetaG.M00001_MetaB.MEorangered1	0.026	0.468
MetaG.M00044_MetaB.MEplum1	0.026	0.501
MetaG.map00920_MetaB.MEskyblue	0.026	0.324
MetaG.map00280_MetaB.MEbrown4	0.026	0.714
MetaG.M00440_MetaB.MElightyellow	0.026	0.3134
MetaG.map00280_MetaB.MEsienna4	0.026	0.773
MetaG.map03018_MetaB.MEmediumpurple1	0.026	0.602
MetaG.M00001_MetaB.MEplum	0.026	0.64
MetaG.M00001_MetaB.MEpalevioletred2	0.028	0.578
MetaG.M00001_MetaB.MEsienna4	0.028	0.7917
MetaG.M00002_MetaB.MEbisque4	0.028	6.95E-01
MetaG.M00001_MetaB.MEmediumpurple1	0.028	0.8054
MetaG.M00060_MetaB.MEyellow3	0.028	0.52
MetaG.map00280_MetaB.MEorangered1	0.03	0.304
MetaG.M00002_MetaB.MEorangered1	0.03	0.341
MetaG.M00060_MetaB.MEorangered1	0.03	0.423
MetaG.M00173_MetaB.MElightsteelblue	0.03	0.605
MetaG.map00250_MetaB.MEpalevioletred1	0.03	0.594
MetaG.M00440_MetaB.MEfloralwhite	0.03	0.2418
MetaG.M00096_MetaB.MEhoneydew	0.032	-0.328
MetaG.M00440_MetaB.MEantiquewhite4	0.032	0.2782
MetaG.M00222_MetaB.MEantiquewhite4	0.032	0.3462
MetaG.M00222_MetaB.MElightsteelblue	0.032	0.426
