Treat_Mediator_Y	ACME.p	prop.mediated
MetaB.MEantiquewhite4_HostT.MEsteelblue1_NEU	0.004	0.653
MetaB.MEantiquewhite4_HostT.MEsteelblue4_NEU	2.00E-16	0.52
MetaB.MEantiquewhite4_HostT.MEtan.1_NEU	2.00E-16	0.689
MetaB.MEantiquewhite4_HostT.MEtan4_NEU	2.00E-16	0.807
MetaB.MEantiquewhite4_HostT.MEthistle4_NEU	2.00E-16	0.824
MetaB.MEantiquewhite4_HostT.MEturquoise_NEU	2.00E-16	1.172
MetaB.MEantiquewhite4_HostT.MEwhite_NEU	2.00E-16	0.772
MetaB.MEantiquewhite4_HostT.MEyellow_NEU	2.00E-16	1.04
MetaB.MEantiquewhite4_HostT.MEyellow2_NEU	2.00E-16	0.86
MetaB.MEbisque4_HostT.MEbisque4_NEU	2.00E-16	0.969
MetaB.MEbisque4_HostT.MEblue2_NEU	2.00E-16	0.818
MetaB.MEbisque4_HostT.MEblueviolet_NEU	2.00E-16	0.797
MetaB.MEbisque4_HostT.MEbrown_NEU	2.00E-16	1.02
MetaB.MEbisque4_HostT.MEbrown3_NEU	2.00E-16	0.641
MetaB.MEbisque4_HostT.MEchocolate2_NEU	0.002	0.471
MetaB.MEbisque4_HostT.MEchocolate4_NEU	0.002	0.394
MetaB.MEbisque4_HostT.MEcoral_NEU	2.00E-16	0.326567454
MetaB.MEbisque4_HostT.MEcyan_NEU	0.002	0.696
MetaB.MEbisque4_HostT.MEdarkgoldenrod4_NEU	2.00E-16	0.555699364
MetaB.MEbisque4_HostT.MEdarkgreen_NEU	0.004	0.533
MetaB.MEbisque4_HostT.MEdarkgrey.1_NEU	2.00E-16	0.263
MetaB.MEbisque4_HostT.MEdarkmagenta.1_NEU	2.00E-16	0.781
MetaB.MEbisque4_HostT.MEdarkmagenta_NEU	0.15	0.148
MetaB.MEbisque4_HostT.MEdarkolivegreen4_NEU	0.006	0.2805
MetaB.MEbisque4_HostT.MEdarkorange2_NEU	2.00E-16	0.683
MetaB.MEbisque4_HostT.MEdarkorchid1_NEU	0.01	0.49
MetaB.MEbisque4_HostT.MEdarkorchid2_NEU	0.074	0.3957
MetaB.MEbisque4_HostT.MEdarksalmon_NEU	0.48	0.127
MetaB.MEbisque4_HostT.MEdarkseagreen2_NEU	0.098	0.2884
MetaB.MEbisque4_HostT.MEdarkviolet_NEU	2.00E-16	0.899
MetaB.MEbisque4_HostT.MEdeeppink_NEU	0.006	0.432
MetaB.MEbisque4_HostT.MEdeeppink3_NEU	2.00E-16	0.8
MetaB.MEbisque4_HostT.MEdodgerblue1_NEU	0.32	0.0487
MetaB.MEbisque4_HostT.MEdodgerblue4_NEU	2.00E-16	0.378
MetaB.MEbisque4_HostT.MEfirebrick3_NEU	2.00E-16	0.854
MetaB.MEbisque4_HostT.MEfirebrick4_NEU	2.00E-16	0.669
MetaB.MEbisque4_HostT.MEfloralwhite_NEU	0.008	0.412
MetaB.MEbisque4_HostT.MEgold_NEU	2.00E-16	0.653
MetaB.MEbisque4_HostT.MEgold1_NEU	2.00E-16	0.641
MetaB.MEbisque4_HostT.MEgreen2_NEU	2.00E-16	1.06
MetaB.MEbisque4_HostT.MEgreen4_NEU	2.00E-16	0.839
MetaB.MEbisque4_HostT.MEgreenyellow.1_NEU	0.9	0.0113
MetaB.MEbisque4_HostT.MEgreenyellow_NEU	2.00E-16	0.461
MetaB.MEbisque4_HostT.MEhoneydew1_NEU	0.094	0.3319
MetaB.MEbisque4_HostT.MEhoneydew2_NEU	2.00E-16	0.856
MetaB.MEbisque4_HostT.MEhoneydew3_NEU	0.006	0.493
MetaB.MEbisque4_HostT.MEhotpink1_NEU	0.198	0.273
MetaB.MEbisque4_HostT.MEhotpink2_NEU	2.00E-16	0.944
MetaB.MEbisque4_HostT.MElavender_NEU	0.596	0.0913
MetaB.MEbisque4_HostT.MElavenderblush2_NEU	0.17	0.234
MetaB.MEbisque4_HostT.MElemonchiffon1_NEU	2.00E-16	0.507
MetaB.MEbisque4_HostT.MElightcyan4_NEU	2.00E-16	0.44
MetaB.MEbisque4_HostT.MElightgoldenrod2_NEU	0.094	0.06771
MetaB.MEbisque4_HostT.MElightgoldenrod3_NEU	0.4	0.108
MetaB.MEbisque4_HostT.MElightpink_NEU	2.00E-16	0.737
MetaB.MEbisque4_HostT.MElightpink1_NEU	0.63	0.104
MetaB.MEbisque4_HostT.MElightpink3_NEU	0.016	0.258
MetaB.MEbisque4_HostT.MElightskyblue2_NEU	2.00E-16	0.716
MetaB.MEbisque4_HostT.MElightsteelblue1_NEU	2.00E-16	0.568614942
MetaB.MEbisque4_HostT.MElightyellow.1_NEU	2.00E-16	0.578
MetaB.MEbisque4_HostT.MElightyellow_NEU	2.00E-16	0.724
MetaB.MEbisque4_HostT.MElightyellow3_NEU	2.00E-16	0.744
MetaB.MEbisque4_HostT.MEmagenta_NEU	2.00E-16	0.914
MetaB.MEbisque4_HostT.MEmagenta4_NEU	2.00E-16	1.096
MetaB.MEbisque4_HostT.MEmaroon2_NEU	2.00E-16	1.11
MetaB.MEbisque4_HostT.MEmaroon3_NEU	0.002	0.426
MetaB.MEbisque4_HostT.MEmoccasin_NEU	2.00E-16	1.331
MetaB.MEbisque4_HostT.MEnavajowhite1_NEU	2.00E-16	0.826
MetaB.MEbisque4_HostT.MEnavajowhite4_NEU	0.006	0.514
