Treat_Mediator_Y	ACME.p	prop.mediated
MetaG.M00511_MetaB.MElightcoral	0.885	0.00427
MetaG.M00512_MetaB.MElightcoral	0.885	0.00642
MetaG.M00537_MetaB.MEdarkred	0.885	0.00107
MetaG.M00540_MetaB.MEgreen	0.885	0.002662
MetaG.M00567_MetaB.MEgreen	0.885	-0.00435
MetaG.M00015_MetaB.MEtan4	0.908	0.00383
MetaG.M00274_MetaB.MEtan4	0.908	-0.000426
MetaG.M00418_MetaB.MEantiquewhite2	0.908	0.00359
MetaG.M00436_MetaB.MEdarkorange2	0.908	0.00672
MetaG.M00436_MetaB.MEwhite	0.908	0.00232
MetaG.M00439_MetaB.MEdarkorange2	0.908	4.04E-04
MetaG.M00500_MetaB.MEdarkred	0.908	0.00382
MetaG.M00511_MetaB.MEmidnightblue	0.908	0.00093
MetaG.M00512_MetaB.MEorange	0.908	0.005361
MetaG.M00512_MetaB.MEtan4	0.908	0.006699
MetaG.M00540_MetaB.MEtan4	0.908	0.00153
MetaG.M00145_MetaB.MEgreen	0.931	0.00222
MetaG.M00162_MetaB.MEantiquewhite2	0.931	0.000471
MetaG.M00162_MetaB.MEblue2	0.931	0.00341
MetaG.M00342_MetaB.MEantiquewhite2	0.931	-0.000237
MetaG.M00373_MetaB.MEmidnightblue	0.931	0.00227
MetaG.M00373_MetaB.MEtan4	0.931	0.002587
MetaG.M00436_MetaB.MEdarkred	0.931	1.18E-03
MetaG.M00500_MetaB.MEdarkorange2	0.931	0.00623
MetaG.M00512_MetaB.MEantiquewhite2	0.931	0.00343
MetaG.M00512_MetaB.MEgreen	0.931	0.00161
MetaG.M00512_MetaB.MEindianred4	0.931	0.00253
MetaG.M00567_MetaB.MEdarkred	0.931	-0.000566
MetaG.map00195_MetaB.MEdarkred	0.931	0.00297
MetaG.map00195_MetaB.MEtan4	0.931	0.00023
MetaG.M00342_MetaB.MEindianred4	0.949	0.000417
MetaG.M00545_MetaB.MEtan4	0.949	-0.000121
MetaG.M00162_MetaB.MEdarkred	0.954	0.000218
MetaG.M00274_MetaB.MEdarkred	0.954	0.00262
MetaG.M00418_MetaB.MElightcoral	0.954	0.009916
MetaG.M00418_MetaB.MEtan4	0.954	0.000811
MetaG.M00439_MetaB.MEantiquewhite2	0.954	0.001442
MetaG.M00511_MetaB.MEdarkorange2	0.954	0.00568
MetaG.M00511_MetaB.MEdarkred	0.954	0.003386
MetaG.M00512_MetaB.MEdarkred	0.954	0.01018
MetaG.M00537_MetaB.MEtan4	0.954	0.00268
MetaG.M00540_MetaB.MElightcoral	0.954	0.00984
MetaG.M00545_MetaB.MEdarkred	0.954	-0.000209
MetaG.M00567_MetaB.MEantiquewhite2	0.954	0.00264
MetaG.map00195_MetaB.MEantiquewhite2	0.954	0.000773
MetaG.M00342_MetaB.MEdarkred	0.958	-0.000132
MetaG.M00162_MetaB.MEmidnightblue	0.963	2.66E-05
MetaG.M00015_MetaB.MEcoral3	0.977	0.00665
MetaG.M00015_MetaB.MEdarkred	0.977	0.00151
MetaG.M00145_MetaB.MEorange	0.977	0.00233
MetaG.M00151_MetaB.MEdarkred	0.977	0.000406
MetaG.M00162_MetaB.MEdarkorange2	0.977	0.000439
MetaG.M00439_MetaB.MEwhite	0.977	0.002822
MetaG.M00500_MetaB.MEblack	0.977	0.01544
