Treat_Mediator_Y	ACME.p	prop.mediated
MetaB.MElightcoral_HostT.MEtan1	0.028	1.17
MetaB.MEpalevioletred3_HostT.MElavenderblush3.1	0.028	0.200784438
MetaB.MEcoral_HostT.MElightblue4	0.029	0.2246
MetaB.MEdarkorange_HostT.MEbrown2	0.032	0.265
MetaB.MEdarkred_HostT.MEsnow	0.032	0.293820551
MetaB.MEtan4_HostT.MEpowderblue	0.032	-0.196
MetaB.MEgreen_HostT.MEturquoise1	0.033	-0.134
MetaB.MEorange_HostT.MEgrey	0.033	-0.219
MetaB.MEblack_HostT.MEpalegreen	0.034	0.388
MetaB.MEblue2_HostT.MEbrown2	0.034	0.321
MetaB.MEdarkred_HostT.MEdarkgrey	0.034	0.448
MetaB.MEindianred4_HostT.MEpurple4	0.034	-0.887
MetaB.MEorange_HostT.MEcyan4	0.034	-0.416
MetaB.MEblack_HostT.MEcyan4	0.035	0.426
MetaB.MEgreen_HostT.MEpalegreen2	0.035	-0.131
MetaB.MEpalevioletred3_HostT.MElightsalmon	0.0354	0.042939017
MetaB.MEdarkorange2_HostT.MEsnow	0.036	0.4612
MetaB.MEmidnightblue_HostT.MEdarkgrey	0.036	0.246775875
MetaB.MEpalevioletred3_HostT.MEgrey	0.036	0.035917424
MetaB.MEwhite_HostT.MEgrey	0.036	0.236
MetaB.MEpalevioletred3_HostT.MEsalmon.1	0.037	0.257754579
MetaB.MEblack_HostT.MElightgoldenrod4	0.0378	0.046941325
MetaB.MEantiquewhite2_HostT.MEpowderblue	0.038	0.253
MetaB.MElightcoral_HostT.MEcyan4	0.038	0.516
MetaB.MEorange_HostT.MEpalegreen2	0.038	-0.211
MetaB.MEorange_HostT.MEpaleturquoise1	0.038	-0.288
MetaB.MEpalevioletred3_HostT.MEbrown2	0.038	0.23
MetaB.MEpalevioletred3_HostT.MElightblue4	0.038	0.157952718
MetaB.MEmidnightblue_HostT.MEturquoise1	0.039	0.352
MetaB.MEtan4_HostT.MEtan1	0.039	0.0711
MetaB.MEcoral3_HostT.MEburlywood4	0.04	-0.315
MetaB.MEdarkorange2_HostT.MEburlywood4	0.041	0.458
MetaB.MEdarkorange2_HostT.MEroyalblue	0.041	1.2
MetaB.MEindianred4_HostT.MEroyalblue	0.041	-0.691
MetaB.MEorange_HostT.MEpalegreen	0.041	-0.357
MetaB.MEantiquewhite2_HostT.MEpalegreen2	0.045	0.0648
MetaB.MEdarkred_HostT.MElightgoldenrod4	0.045	0.232
MetaB.MEgreen_HostT.MEgrey	0.045	-0.0551
MetaB.MEindianred4_HostT.MEsnow4	0.045	-0.276
MetaB.MElightcoral_HostT.MEturquoise1	0.045	0.297
MetaB.MEmidnightblue_HostT.MEcyan4	0.046	0.26222338
MetaB.MEdarkorange2_HostT.MEgrey	0.049	0.257
MetaB.MEtan4_HostT.MEpaleturquoise1	0.049	0.0366
MetaB.MEpalevioletred3_HostT.MEdarkgrey	0.05	0.214195681
MetaB.MEblue2_HostT.MEcyan4	0.053	0.414
MetaB.MEblue2_HostT.MEgrey	0.053	0.212
MetaB.MEblue2_HostT.MEpaleturquoise1	0.053	0.246
MetaB.MEblue2_HostT.MEtan1	0.053	0.721
MetaB.MEblue2_HostT.MEturquoise1	0.053	0.193
MetaB.MEcoral_HostT.MEolivedrab1	0.053	0.1396
MetaB.MEcoral3_HostT.MEsnow	0.053	-0.296
MetaB.MEdarkorange_HostT.MEpaleturquoise1	0.053	0.292
MetaB.MEorange_HostT.MEturquoise1	0.053	-0.168
MetaB.MEpalevioletred3_HostT.MEdarkolivegreen.1	0.0532	0.407
MetaB.MEcoral3_HostT.MEolivedrab1	0.057	-0.201
MetaB.MEdarkorange_HostT.MEgrey	0.057	0.205
MetaB.MEdarkred_HostT.MEroyalblue	0.057	-0.313
MetaB.MEgreen_HostT.MEtan1	0.057	0.336
MetaB.MEmidnightblue_HostT.MEpaleturquoise1	0.0592	1.16
MetaB.MEblack_HostT.MEpaleturquoise1	0.06	0.256
MetaB.MEdarkorange_HostT.MEturquoise1	0.06	0.225
MetaB.MEdarkorange2_HostT.MEturquoise1	0.06	0.176
MetaB.MEblack_HostT.MEturquoise1	0.061	0.209
MetaB.MEorange_HostT.MEpowderblue	0.062	-0.391
MetaB.MEgreen_HostT.MEdarkgrey	0.0628	1.36
MetaB.MEmidnightblue_HostT.MEpalegreen2	0.064	0.218
MetaB.MEpalevioletred3_HostT.MEpowderblue	0.064	0.477
MetaB.MEorange_HostT.MElightblue4	0.068	-0.166
MetaB.MEindianred4_HostT.MElightgoldenrod4	0.072	0.198
MetaB.MEindianred4_HostT.MEseashell	0.072	-0.179
MetaB.MEmidnightblue_HostT.MEsnow	0.072	0.399
MetaB.MEwhite_HostT.MEbrown2	0.0736	0.142
MetaB.MEdarkred_HostT.MElavenderblush3.1	0.076	-0.191
MetaB.MElightcoral_HostT.MEpalegreen2	0.076	0.23
MetaB.MEwhite_HostT.MEsnow	0.076	0.331
MetaB.MEwhite_HostT.MElemonchiffon4	0.078	0.385
MetaB.MEblack_HostT.MEsalmon.1	0.08	0.115752941
MetaB.MEwhite_HostT.MEorchid2	0.08	0.1853
MetaB.MEindianred4_HostT.MEsnow	0.083	-0.258
MetaB.MEdarkorange_HostT.MElightblue4	0.084	0.186
MetaB.MEmidnightblue_HostT.MEtan1	0.084	0.885
MetaB.MEpalevioletred3_HostT.MEpurple4	0.084	0.172908712
MetaB.MEpalevioletred3_HostT.MElemonchiffon4	0.0844	0.546
MetaB.MEdarkorange2_HostT.MEpalegreen	0.088	0.322
MetaB.MEgreen_HostT.MEsalmon.1	0.088	0.16672971
MetaB.MEindianred4_HostT.MEcyan4	0.088	-0.27
MetaB.MEpalevioletred3_HostT.MElightgoldenrod4	0.088	0.253
MetaB.MEcoral_HostT.MEsalmon.1	0.091	0.189
MetaB.MEdarkorange2_HostT.MEtan1	0.092	0.826
MetaB.MEgreen_HostT.MEdarkolivegreen.1	0.094	0.595
MetaB.MEgreen_HostT.MElightgoldenrod4	0.1	0.188
MetaB.MEdarkred_HostT.MEgrey	0.1	0.147069248
MetaB.MEindianred4_HostT.MEsalmon.1	0.1	0.159
MetaB.MEindianred4_HostT.MEsalmon4.1	0.112	-0.242
MetaB.MEgreen_HostT.MEseashell	0.124	-0.0033
MetaB.MEantiquewhite2_HostT.MEgrey	0.136	0.0322
MetaB.MEblue2_HostT.MEpalegreen2	0.136	0.178
MetaB.MEdarkorange2_HostT.MEpalegreen2	0.136	0.109
MetaB.MEdarkred_HostT.MElightblue4	0.136	0.162
MetaB.MEdarkred_HostT.MEpurple4	0.136	-0.195
MetaB.MEantiquewhite2_HostT.MEdarkgrey	0.148	0.1507
MetaB.MEpalevioletred3_HostT.MEpalegreen2	0.148	0.114
MetaB.MEdarkorange_HostT.MEpalegreen2	0.16	0.0897
MetaB.MEorange_HostT.MElightsalmon	0.16	-0.0842
MetaB.MEwhite_HostT.MElavenderblush3.1	0.16	-0.0427
MetaB.MEblue2_HostT.MElightblue4	0.172	0.138
MetaB.MEindianred4_HostT.MElemonchiffon4	0.184	-0.26
MetaB.MEorange_HostT.MElavenderblush3.1	0.192	-0.127
MetaB.MEdarkorange2_HostT.MElavenderblush3.1	0.196	0.107
MetaB.MEgreen_HostT.MElightblue4	0.196	0.00719
MetaB.MEwhite_HostT.MEpalegreen2	0.196	-0.0421
MetaB.MEblack_HostT.MEpalegreen2	0.208	0.101
MetaB.MElightcoral_HostT.MEpaleturquoise1	0.208	0.201
MetaB.MEindianred4_HostT.MEtan1	0.215	-0.259
MetaB.MEdarkorange2_HostT.MEcyan4	0.22	0.359
MetaB.MEdarkred_HostT.MEcyan4	0.22	-0.0387
MetaB.MEorange_HostT.MEtan1	0.22	-0.165
