#NAME	K056V0	K072V0	K079V0	K083V0	K084V0	K085V0	K086V0	K147V0	K096V0	K098V0	K100V0	K101V0	K105V0	K107V0	K110V0	K111V0	K112V0	K119V0	K121V0	K122V0	K131V0	K136V0	K138V0	K144V0	K154V0	K155V0	K157V0	K169V0	K170V0	K171V0	K173V0	K174V0	K177V0	K179V0	K180V0	K182V0	K184V0	K188V0	1040V4	J095V4	1107V4	X003V4	1004V4	X004V4	S106V8	S099V8	C220V8	C402V8	C422V8	K054V0	K055V0	K057V0	K060V0	K194V0	K003V4	K005V4	K019V4	K037V4	C532V8
LIF	2.328749295	0	1.35828811	0	0	0	2.362335323	2.380740372	1.921858745	0.637667328	2.251291255	2.303486692	2.287370649	2.348602939	2.573108254	2.199720394	2.371374974	2.191323801	2.406423896	2.215458176	2.399760057	2.635299712	2.44858656	2.552018939	0	0	1.851509166	1.004471811	0	0	0	0	0	1.910420547	0	1.0590408	1.503201017	0	2.362479556	2.361727427	2.581960598	1.743725401	0	0	0	0	0	0	0	2.363067311	2.27916893	2.101025075	2.186316503	2.114980633	0	0	0	0	0
LIGHT	1.649603611	0.737476227	1.330963187	0.55737677	0.665286433	0.62758246	0.255225856	1.672284397	1.304574041	1.534072977	1.467371712	1.096196352	1.448147506	1.643900926	1.69874813	0.727434456	1.649912244	1.666765359	1.512691077	1.25563719	2.467241025	1.436566794	1.78906074	1.764881256	0	0	0	1.010235187	0	0	0	0	2.269886987	0	0	0.728671115	0	0	1.654080387	1.721767821	1.736073492	1.156081116	0	0	0	0.46441121	0	0	0	1.172430179	0.191830824	1.368052289	1.56845004	2.013987841	0	0	0	0	0
Lymphotactin	0.693407894	0	0	0	0	0	0	0	0	0	1.844842225	1.665577311	0	2.064954272	0	0	1.947846613	1.883687428	1.56225442	1.550753264	2.435625346	0	0	2.122115149	0	0	0	2.00805499	0	0	0	0	3.304832874	0	0	0	0	0	1.62718951	0	1.982751346	1.90511457	0	0	0	0	2.203439426	0	0	1.092268664	0	0	2.043996679	2.642366046	0	0	0	0	0
MCP-2	3.058709011	2.710056306	2.795864413	2.403353141	2.493939756	2.000361597	2.098727739	2.93270759	2.989209532	2.831288425	2.626775686	2.550004587	2.834892573	3.0364603	3.025476683	3.002271466	2.951661736	2.625342886	2.665200144	2.752939514	2.845554788	2.342102193	2.807420593	2.651615554	2.060542725	1.574809635	1.895327916	2.181005017	1.936467054	2.173372678	2.226766021	2.15348213	2.236270276	2.238536112	1.792780552	1.65680305	2.222972622	2.05892807	2.603899181	1.691776151	2.611293732	1.62942071	2.209466439	2.236484392	1.742490027	2.155349877	2.116200868	1.592699874	1.726740258	3.038993377	1.706948816	2.893970885	2.953827976	2.577241986	1.89189262	1.964222218	2.208254153	2.073736646	2.083651719
MCP-3	1.233920352	1.046432162	1.127175543	0.732917654	0.148702951	0.720508897	1.166907435	1.181565192	0.974834108	0.958899522	0	0.857440429	0.890559526	1.006365341	1.246757277	1.079096493	0	1.353049482	0	0.630945538	1.41398521	1.141728292	1.120379502	1.084620772	0.21853168	0.993023076	1.065798142	1.248801656	0	1.743961698	0.598256175	1.093032974	1.707746365	1.03203859	0.746114186	0.960544174	1.226817791	1.199599239	1.115702471	0.921827996	1.194960538	0	0.338207064	0.470232561	1.287663867	0.41806886	0.600480859	0.33663237	0	1.266820276	0.292977898	0	1.152107571	1.426044421	0	0	0.304537907	0.218684233	0
MCP-4	2.55916	2.184661986	1.709444922	1.57186651	1.946953595	1.029624867	1.803303731	2.072469372	1.38304242	1.719756617	2.077121558	2.046926831	1.884659408	1.901624845	2.137162298	2.491719458	2.280632951	1.494755845	1.539680209	0.659330717	1.449771453	1.668874861	2.024326381	1.285658299	1.036321995	0	2.360180703	0.660638484	0.97419628	0.966054861	0.3738482	0.027893346	1.993530123	1.119272444	0.53238128	0.324301305	1.246333405	0.814073865	1.574905992	1.024267864	1.825808624	1.222089002	0	1.542262765	0	0	0	0	0	2.326932597	2.224187697	1.931032832	1.827408533	1.519729161	1.086827329	0.45381976	0	0	0.465000098
MDC	3.621605915	3.353528392	3.444249992	3.247205159	3.446610504	3.310047583	3.148890492	3.538049411	3.371801413	3.484638153	3.330437555	3.462002121	3.477798442	3.579489243	3.378781043	3.473061916	3.387235114	3.050247311	3.280544531	3.341901166	3.483894265	2.652848309	3.462306094	3.478276875	3.01283082	2.875103499	3.107331693	2.829363978	3.078108759	3.166015276	2.944276721	3.070023951	3.127147901	2.726485475	2.838098865	3.386787787	3.137978319	3.274803382	3.608853236	3.398275761	3.576710707	3.13155766	2.669028316	3.092567055	3.281231485	2.908242462	2.748854497	3.084016262	2.947409356	3.61708862	3.34697607	3.216304973	3.380188122	3.526954906	2.902043525	3.149891791	2.895898194	3.007507894	2.999080131
MIF	2.747515199	2.551051492	2.357849479	2.444192905	2.003996053	2.375856762	2.307500195	2.765676454	2.412706348	1.187330096	2.42576637	2.171549843	2.49854708	2.392403005	2.569109719	2.362149699	2.322039268	2.623120669	2.355800102	2.483610914	2.910748841	2.738675043	2.747590336	2.690357375	2.182324849	2.41785372	2.773870083	2.366195682	2.544818688	2.59774543	2.181205152	2.469332597	2.760260007	2.312922641	2.248156788	2.431794018	2.463938222	2.422587967	2.729910058	2.245152139	2.697174795	2.295170561	2.31993068	2.400111018	2.769673214	2.392059243	2.354225724	2.705751693	2.328648676	2.902038633	2.559102873	2.633372919	2.473290815	2.394484599	2.500993223	2.002519223	2.168490417	2.405300801	2.235631059
MIP-3a	1.679178065	1.922110657	0.822481247	1.848240602	1.434025329	0.769611799	1.45840833	1.090211865	0.845641259	1.509522494	1.597021774	1.457849577	1.645507436	2.10924903	1.358763732	1.608535754	1.355838399	1.096019648	1.440906274	1.678488041	1.886515367	1.867546823	1.210428416	1.774161017	1.056718814	1.017136021	2.398770122	1.264930246	1.758428905	1.443083057	1.050387226	0.707682405	2.276382361	1.282562634	1.918228156	1.802719451	1.737048454	1.817323134	1.72382628	1.771875849	1.617215731	1.69844455	1.375646853	1.017407883	1.380533093	1.367904761	2.381288191	1.910413779	0	1.703201346	1.34338262	1.366484838	1.266682834	2.025876915	1.125171103	1.515406925	0	2.025347647	2.904904329
MIP-3b	2.532707262	2.226136583	2.262711793	2.190164023	2.209078796	2.138866393	2.170088854	2.216660319	2.393095134	2.179100956	2.689791923	1.94179562	2.256599401	2.393284123	2.869994497	2.760679201	2.257835351	2.258705578	2.261762497	2.364278772	2.824920835	2.269124069	2.144372626	2.482048092	2.244752272	2.421403326	2.567354697	2.000171402	3.775381653	2.334798335	2.098945079	2.027754935	2.970735254	1.93943058	2.486365089	2.324738863	2.590977425	2.208418725	2.310646737	2.448576163	2.10613012	2.251775097	2.293588465	2.171400798	2.957375139	2.476732784	2.63382809	2.38537077	2.099361355	2.174374389	3.240359609	2.353512207	3.00473327	2.597635143	2.322705594	2.277614984	2.169563031	2.091559391	2.384192793
