#NAME	1004V4	1040V4	1107V4	C220V8	C402V8	C422V8	J095V4	K056V0	K072V0	K079V0	K083V0	K084V0	K085V0	K086V0	K096V0	K098V0	K100V0	K101V0	K105V0	K107V0	K110V0	K111V0	K112V0	K119V0	K121V0	K122V0	K131V0	K136V0	K138V0	K144V0	K147V0	K154V0	K155V0	K157V0	K169V0	K170V0	K171V0	K173V0	K174V0	K177V0	K179V0	K180V0	K182V0	K184V0	K188V0	S099V8	S106V8	X003V4	X004V4	C532V8	K003V4	K005V4	K019V4	K037V4	K054V0	K055V0	K057V0	K060V0	K194V0
VEGF R2	0	0	0	6.985898831	0	3.621830283	0	5.305508858	0	7.793033582	0	0	0	8.323674708	6.919079688	6.428015039	1.020521149	0	0	0	0	0	8.785078654	0	0	6.854322741	0	8.117375111	0	3.811906721	7.369689821	5.434234906	7.382227349	8.206205737	0	4.152021251	6.627970403	6.662981662	0	9.820282125	5.912045678	0	7.601284588	5.570083379	0	4.724198182	5.069223505	5.474059707	0	0	10.08113721	6.145744414	4.136888042	5.809772647	0	0	6.948970697	7.53391014	8.037679272
VEGF R3	0	2.227361571	0	5.60411249	5.107175585	5.380330188	0	4.732036243	4.087756422	7.277964942	2.949735527	4.542011884	0	5.767673386	6.223319496	6.895605434	6.783048717	0	7.454138141	5.392454124	1.67148897	6.092594278	6.191653827	0	1.31414967	1.751989621	6.916516512	5.771007571	5.947253305	0	5.374840152	3.264150793	5.464292503	5.366380094	3.883496593	6.097443343	8.093015217	8.07921045	0	7.433894521	6.885115588	5.489725182	5.870467848	5.764289319	7.018920503	4.27318223	1.768084782	0	2.419693397	0	10.16888817	5.237279686	5.194895473	4.991744518	5.02979412	0	4.628076615	6.303191993	3.628923303
VEGF-D	0.406210385	0	0	7.216071131	1.222231219	2.591470115	0	3.176060017	0	2.127915501	2.330040047	2.661139256	0	0	4.270711253	5.661251558	0	0	3.961809344	0	1.312295553	0	4.573723124	0	0	0	5.515526795	3.583110546	2.155670037	0	2.245204921	0.520118562	3.878959596	1.497257211	0.002141841	3.303363395	5.850098933	4.216479925	0	6.094234253	2.096148565	3.736077757	4.472732063	4.192971651	3.215138017	3.22700857	2.742318415	0	0	0	7.35034989	4.07865805	3.883455999	0	2.789263332	0	2.992016024	3.290882559	3.304990431
BLC	6.265750065	0.893914717	4.479768726	6.673870898	6.080966962	5.04008613	0	6.337673804	3.791954091	5.254895531	3.945290253	3.58503211	0	5.591973264	4.300983961	6.324643053	6.506678676	5.668010933	7.282082791	3.176296969	6.3586026	3.817125599	8.205259472	6.979259093	5.20805745	5.131624364	1.817299127	5.214528523	7.720179708	6.301005111	5.381895663	4.875490736	7.10640212	3.325760569	6.799235906	5.444390941	0	6.422333996	0	8.609203913	6.141345104	2.392017111	2.618922687	4.402225695	3.428531797	6.479528218	6.753027739	3.53633242	4.399718362	6.446887985	8.318394803	5.727705187	3.516620295	6.567154293	4.020817183	4.27818696	5.992833388	4.226499865	6.570827528
Eotaxin	6.922539172	5.283034683	7.661530823	6.065413967	5.726556438	6.096674714	6.153691663	7.123147859	6.287054814	5.42751216	6.712247307	6.481232162	7.322095734	5.353846245	7.810042752	8.23532065	6.885854433	7.025112977	8.044479955	6.304148972	7.325918041	6.309127705	7.759849836	6.482893335	4.054862383	7.40003641	0.523988031	7.328476568	7.332643917	6.357389182	7.093734153	6.954184838	6.211158745	7.291079252	6.259314199	7.082335197	0	8.037476141	6.35972248	7.903604237	7.555452419	6.839489204	6.498177003	5.860966246	3.005516449	7.087127158	6.801960273	7.609103265	6.815013149	6.782632267	8.268276905	5.339537346	7.144575328	5.546668858	6.917471373	6.482390174	7.943347671	7.055919584	7.713846318
Eotaxin-2	9.322151362	8.274474625	9.864665526	8.391279804	8.500240596	10.15007321	8.997134383	9.996285343	9.371938224	4.254102003	9.541994941	9.75859464	10.06285996	9.466312387	10.47148232	10.55650213	9.111180826	9.226327019	10.35583994	9.217289956	10.74430978	9.833257929	10.41753543	8.701597421	8.365543389	10.17760024	4.809561643	10.14727994	9.876540413	9.761533016	6.92178061	10.13295461	10.08156263	10.25068774	8.574723873	10.60032731	8.321806792	10.76859042	9.946662464	11.00513045	9.903799325	9.745832785	10.10083017	9.79402817	7.822032532	9.654788512	9.421157672	10.5039857	10.11556282	8.642645301	9.36032466	6.924599868	10.06737806	7.479623762	8.961641609	9.571826901	8.718229161	10.17236509	9.390763816
G-CSF	6.925240465	4.251682781	3.295992738	10.33035515	7.588839584	7.95579561	6.405043876	9.388276845	10.60557847	7.91826839	11.13895066	6.432598214	8.280446399	10.19564079	10.78354184	11.27264599	9.785569385	10.41986292	10.8832774	9.333780475	10.88161781	7.719387926	10.47540143	10.72913314	4.652757194	10.50562494	3.334905831	10.64253768	9.718823011	8.834482487	9.138867434	9.780429849	8.002835895	10.55307418	9.931976284	9.414341157	5.398044015	11.16872912	8.199463655	10.29783432	11.61391552	8.290992035	9.823046799	6.512349504	4.970710121	10.08179012	7.919589881	10.3281141	9.686680366	10.76612412	11.13005574	7.260269753	9.503991805	7.828773944	6.992544801	8.407382264	10.47015248	9.382917843	10.47099527
GM-CSF	0	0	0	1.759580694	2.261142361	1.897753995	0	0	0.469509908	0	0	0	0	0	0	0	0	0	0	0	0.509091631	0	0	0	1.214183116	0.580445915	3.224596508	2.441845935	0	1.694233461	0	0	0	0	0	0	0	0.210565411	0	0.491200526	0	0	1.114590897	0	2.21178693	1.116869094	1.409238981	0	0	0.470555545	2.285293916	0	1.297350599	0	0	0	1.627615885	0	0
I-309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.257224499	0	0	0	0	0	5.389335884	0	0	0	2.060120104	0	0	0	0	0	0	0	0	0	0	4.434679314	0	0	0	0	0	0	0	0
ICAM-1	12.69704146	12.14398188	11.39563712	13.07310295	12.15853426	13.52437697	12.10007656	13.16905034	12.54927602	11.04873185	12.97044521	10.57810069	13.14957726	12.69942902	13.37766846	13.69119521	12.410624	12.53339707	13.10837761	12.23536709	14.06684901	12.32653515	12.83900739	12.88054665	12.25938671	13.37406898	11.57973158	13.52157483	12.79348978	13.5854617	12.92027526	12.78508	12.41392558	13.22243463	12.49296212	13.07722084	11.98603503	13.80805068	12.25293477	14.08059948	13.05591016	13.14067993	12.56568456	11.55111685	11.87217902	13.29468817	12.68196552	12.70119035	12.63445969	13.0811125	13.6176695	12.33252357	13.37155178	12.93211667	13.53734504	13.05055591	12.69904434	13.08248894	13.43919872
